otu	EditedTaxonomy
c65460bc17b74964f61852f1c50e046b	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae;g__Wilcoxina
f84d7ecb75b2c292c38537855bf355a6	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae;g__Wilcoxina
fafecc399fc212be7ab4b2a473df05ba	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae;g__Wilcoxina
8cb2c07bcdb0e51a3baabf6186f1c43b	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae;g__Sphaerosporella
ad7cb87579d50a76c4de422be5b203eb	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Niaceae; g__Flagelloscypha
d3e84d09ae3ca027bcaa28bd40427f73	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales
c5c6bcf99cfc76056dc0e9456c43a970	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Niaceae; g__Flagelloscypha
60a9ccab0c22294e06f3e1b0fdb1a5bf	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales
fc9642401ca25273ae67f6d00c348323	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Niaceae; g__Flagelloscypha
4073f552e63c7c0edf0a720f56ced50c	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales
b18e72dba01b1d66bd5febc6c9a87c15	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales
8299e75992db55477a61e58e7f8b3c92	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Niaceae; g__Flagelloscypha
980676b96bea244b94945886dfec043b	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
fcabecead9fd89cfdde617ed4b982f63	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales
7c7315aaa4c84eeb90fe74808079411e	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales
f8fd5dcec291fba53aa2bee425017514	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales
99334d391873e365d6f6cde59fd273c8	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae;g__Sphaerosporella
192d64d562a7264a2bb2bd733038d206	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Polyphilus
2fa21573ce73ffa74ac7c359e4813fc7	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Polyphilus
7268a86eda08199f4212746acfaaba20	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Polyphilus
7c56631a9e9f46fc063d95642cf819ee	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Polyphilus
fd05e7f020e9d67437fa417d2b31a55c	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Polyphilus
aa4e119e72bf4c2b74de09909125a170	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Tetracladium
e086bebffdfa84760b2014f4b189b730	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Tetracladium
c8acc5a2e9ee87407b88c6e999e555aa	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
f05f6673ecab7e42ab155168304a7284	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
11204577b6f73530feccbda6cd4a0acf	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes
46251054c930e8c41fbd85f1595c1654	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes
67f788259f142b751c1d4559abb5931c	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes
a20a02bde91bd949aa5ff7f610b10035	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes
